CIM10;;"SFMU
SFMU";REGROUPEMENTS CIM10 FEDORU;;
A399;Infection méningococcique, sans précision;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A40;Septicémie à streptocoques;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A400;Sepsis à streptocoques, groupe A;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A401;Sepsis à streptocoques, groupe B;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A402;Sepsis à streptocoques, groupe D;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A403;Sepsis à Streptococcus pneumoniae;OUI;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A408;Autres sepsis à streptocoques;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A409;Sepsis à streptocoques, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A41;Autres septicémies;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A410;Sepsis à staphylocoques dorés;OUI;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A411;Sepsis à d'autres staphylocoques précisés;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A412;Sepsis à staphylocoques non précisés;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A413;Sepsis à Haemophilus influenzae;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A414;Sepsis à microorganismes anaérobies;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A415;Sepsis à d'autres microorganismes Gram négatif;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A418;Autres sepsis précisés;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A419;Sepsis, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A42;Actinomycose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A420;Actinomycose pulmonaire;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A421;Actinomycose abdominale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
A422;Actinomycose cervico-faciale;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A427;Sepsis actinomycosique;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A428;Autres formes d'actinomycose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A429;Actinomycose, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A43;Nocardiose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A430;Nocardiose pulmonaire;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A431;Nocardiose cutanée;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A438;Autres formes de nocardiose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A439;Nocardiose, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A44;Bartonellose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A440;Bartonellose généralisée;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A441;Bartonellose cutanée et cutanéo-muqueuse;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A448;Autres formes de bartonellose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A449;Bartonellose, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A46;Érysipèle;OUI;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Érysipèle
A48;Autres maladies bactériennes, non classées ailleurs;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A480;Gangrène gazeuse;OUI;Médico-chirurgical;Douleurs thoraciques, pathologies cardio-vasculaires;autres patho cardio-vasculaires
A481;Maladie des légionnaires (pulmonaire);OUI;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A482;Maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac];non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A483;Syndrome du choc toxique;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A484;Fièvre purpurique du Brésil;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A488;Autres maladies bactériennes précisées;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A49;Infection bactérienne, siège non précisé;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A490;Infection à staphylocoques, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A491;Infection à streptocoques, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A492;Infection à Haemophilus influenzae, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A493;Infection à Mycoplasma, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A498;Autres infections bactériennes, siège non précisé;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A499;Infection bactérienne, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A50;Syphilis congénitale;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A500;Syphilis congénitale précoce, symptomatique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A501;Syphilis congénitale précoce, latente;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A502;Syphilis congénitale précoce, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A503;Oculopathie syphilitique congénitale tardive;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Douleur oculaire, conjonctivites, autre ophtalmo
A504;Syphilis congénitale nerveuse tardive [neuro-syphilis juvénile];non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A505;Autres formes tardives de syphilis congénitale, symptomatique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A506;Syphilis congénitale tardive, latente;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A507;Syphilis congénitale tardive, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A509;Syphilis congénitale, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A51;Syphilis précoce;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A510;Syphilis génitale primaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A511;Syphilis anale primaire;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
A512;Syphilis primaire d'autres localisations;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A513;Syphilis secondaire de la peau et des muqueuses;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Abcès, phlegmons, furoncles,…
A514;Autres formes de syphilis secondaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A515;Syphilis précoce, latente;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A519;Syphilis précoce, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A52;Syphilis tardive;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A520;Syphilis cardio-vasculaire;non;Médico-chirurgical;Douleurs thoraciques, pathologies cardio-vasculaires;autres patho cardio-vasculaires
A521;Syphilis nerveuse symptomatique;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A522;Syphilis nerveuse asymptomatique;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A523;Syphilis nerveuse, sans précision;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A527;Autres formes tardives de syphilis symptomatique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A528;Syphilis tardive, latente;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A529;Syphilis tardive, sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A53;Syphilis, autres et sans précision;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A530;Syphilis latente, (non précisée précoce ou tardive);non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A539;Syphilis, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A54;Infection gonococcique;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A540;Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, (sans abcès périurétral ou des glandes annexes);OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A541;Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, avec abcès périurétral et des glandes annexes;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A542;Pelvipéritonite gonococcique et autres infections génito-urinaires gonococciques;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A543;Infection gonococcique de l'oeil;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Douleur oculaire, conjonctivites, autre ophtalmo
A544;Infection gonococcique du système ostéo-articulaire et des muscles;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Douleur oculaire, conjonctivites, autre ophtalmo
A545;Pharyngite gonococcique;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Angines, amygdalites, rhino-pharyngites, toux
A546;Infection gonococcique de l'anus et du rectum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
A548;Autres infections gonococciques;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A549;Infection gonococcique, sans précision;OUI;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A55;Lymphogranulomatose vénérienne à Chlamydia;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
